Informativní seznam;;;;;;;;;;;;;;;;
Název soutěže;Pořadatel;Stručná anotace soutěže;Ročník ;Typ soutěže;Termín konání okresního kola soutěže;Termín konání krajského kola soutěže;Termín konání ústředního kola soutěže;Mezinárodní nadstavba;Byla soutěž podpořena alespoň v jednom roce v období 2021-2025?;Popis jak soutěž zohledňuje probíhající revizi RVP.;Kontaktní osoba (garant soutěže) ;Telefonní číslo;Email;Název pracoviště;Adresa pracoviště;Webové stránky soutěže
Mistrovství České republiky školních týmů v šachu 2025-2026;Šachový svaz České republiky z. s.;Mistrovství České republiky školních týmů v šachu je tradiční postupová soutěž v rapid šachu pořádaná Šachovým svazem ČR, z. s. Probíhá ve čtyřech fázích kolo školní, okresní, krajské a republikové finále. Školy přihlašují svá družstva do tří kategorií, 1. stupeň ZŠ, 2. stupeň ZŠ a příslušné ročníky víceletých gymnázií a kategorie středních škol. Každé družstvo má čtyři členy (+ dva náhradníci). Účastní se školy ze všech krajů ČR, do finále postupují vždy dva nejlepší týmy v každé kategorii v kraji. Řídícím orgánem je republiková Komise mládeže Šachového svazu ČR. Jedná se o sportovní soutěž, Šachový svaz ČR je členem České unie sportu, šachy jsou uznány jako sport Národní sportovní agenturou i Mezinárodním olympijským výborem. Čestné prohlášení: Prohlašujeme, že uváděné údaje v žádosti jsou pravdivé a platné. Stream 1. hrací den finále MČR škol 2025 https://www.youtube.com/watch?v=gaX4fcZSFXc&t=5980s Stream 2. hrací den finále MČR škol 2025 https://www.youtube.com/watch?v=r-K9_YZuYfw&t=24001s;57;sportovní;listopad 2025 - leden 2026;leden - březen 2026;duben - červen 2026;Ano;Ne;"https://prohlednout.rvp.cz/zakladni-vzdelavani/klicove-kompetence/kob/udr Nově v rámci organizace soutěže dbáme na rozvoj klíčových kompetencí směřujících k udržitelné budoucnosti, dle změn RVP připravíme odpovídající doprovodný program finále MČR ve Zlíně s využitím návštěvy zlínské ZOO. Dále: 1.Výuka a hra šachu pomáhá naplňovat tyto cíle základního vzdělávání: (https://www.chess.cz/sachy-do-skol/prinos-sachu-pro-deti/) -umožnit žákům osvojit si strategie učení a motivovat je pro celoživotní učení -podněcovat žáky k tvořivému myšlení, logickému uvažování a k řešení problémů -rozvíjet u žáků schopnost spolupracovat a respektovat práci a úspěchy vlastní i druhých-připravovat žáky k tomu, aby se projevovali jako svébytné, svobodné a zodpovědné osobnosti, uplatňovali svá práva a naplňovali své povinnosti-pomáhat žákům poznávat a rozvíjet vlastní schopnosti v souladu s reálnými možnosti a uplatňovat je spolu s osvojenými vědomostmi a dovednostmi při rozhodování o vlastní životní a profesní orientaci 2.Výuka a hra šachu pomáhá žákům osvojit si tyto klíčové kompetence: Kompetence k učení vybírat a využívat pro efektivní učení vhodné způsoby, metody a strategie, plánovat, organizovat a řídit vlastní učení, projevovat ochotu věnovat se dalšímu studiu a celoživotnímu učení -vyhledávat a třídit informace a na základě jejich pochopení, propojení a systematizace je efektivně využívat v procesu učení, tvůrčích činnostech a praktickém životě -samostatně pozoruje a experimentuje, získané výsledky porovnává, kriticky posuzuje a vyvozuje z nich závěry pro využití v budoucnosti -poznává smysl a cíl učení, má pozitivní vztah k učení, posoudí vlastní pokrok a určí překážky či problémy bránící učení, naplánuje si, jakým způsobem by mohl své učení zdokonalit, kriticky zhodnotí výsledky svého učení a diskutuje o nich Kompetence k řešení problémů vnímá nejrůznější problémové situace ve škole i mimo ni, rozpozná a pochopí problém, přemýšlí o nesrovnalostech a jejich příčinách, promyslí a naplánuje způsob řešení problémů a využívá k tomu vlastního úsudku a zkušeností vyhledá informace vhodné k řešení problému, nachází jejich shodné, podobné a odlišné znaky, využívá získané vědomosti a dovednosti k objevování různých variant řešení, nenechá se odradit případným nezdarem a vytrvale hledá konečné řešení problému samostatně řeší problémy; volí vhodné způsoby řešení; užívá při řešení problémů logické, matematické a empirické postupy ověřuje prakticky správnost řešení problémů a osvědčené postupy aplikuje při řešení obdobných nebo nových problémových situací, sleduje vlastní pokrok při zdolávání problémů kriticky myslí, činí uvážlivá rozhodnutí, je schopen je obhájit, uvědomuje si zodpovědnost za svá rozhodnutí a výsledky svých činů zhodnotí Kompetence sociální a personální -vytváří si pozitivní představu o sobě samém, která podporuje jeho sebedůvěru a samostatný rozvoj; ovládá a řídí svoje jednání a chování tak, aby dosáhl pocitu sebeuspokojení a sebeúcty Průřezové téma osobnostní a sociální výchova Osobnostní rozvoj Rozvoj schopností poznávání – cvičení smyslového vnímání, pozornosti a soustředění; cvičení dovedností zapamatování, řešení problémů; dovednosti pro učení a studium Sebepoznání a sebepojetí – já jako zdroj informací o sobě; druzí jako zdroj informací o mně; moje tělo, moje psychika (temperament, postoje, hodnoty); co o sobě vím a co ne; jak se promítá mé já v mém chování; můj vztah ke mně samé/mu; moje učení; moje vztahy k druhým lidem; zdravé a vyrovnané sebepojetí Seberegulace a sebeorganizace – cvičení sebekontroly, sebeovládání– regulace vlastního jednání i prožívání, vůle; organizace vlastního času, plánování učení a studia; stanovování osobních cílů a kroků k jejich dosažení Psychohygiena – dovednosti pro pozitivní naladění mysli a dobrý vztah k sobě samému; sociální dovednosti pro předcházení stresům v mezilidských vztazích; dobrá organizace času; dovednosti zvládání stresových situací (rozumové zpracování problému, uvolnění-relaxace, efektivní komunikace atd.); hledání pomoci při potížích Kreativita – cvičení pro rozvoj základních rysů kreativity (pružnosti nápadů, originality, schopnosti vidět věci jinak, citlivosti, schopnosti „dotahovat“ nápady do reality), tvořivost v mezilidských vztazích Morální rozvoj Řešení problémů a rozhodovací dovednosti – dovednosti pro řešení problémů a rozhodování z hlediska různých typů problémů a sociálních rolí problémy v mezilidských vztazích, zvládání učebních problémů vázaných na látku předmětů, problémy v seberegulaci Hodnoty, postoje, praktická etika – analýzy vlastních i cizích postojů a hodnot a jejich projevů v chování lidí; vytváření povědomí o kvalitách typu odpovědnost, spolehlivost, spravedlivost, respektování atd.; pomáhající a prosociální chování (člověk neočekává protislužbu); dovednosti rozhodování v eticky problematických situacích všedního dne.";Mgr. Venuše Souralová;723 279 926;venuse.souralova@chess.cz;Šachový svaz ČR, z.s. (projekt Šachy do škol);Zátopkova 100/2, Praha 6 169 00;https://www.chess.cz/chci-hrat-sachy/prebor-skol/2023-2024/
Primachori, celostátní přehlídka školních dětských pěveckých sborů ;Národní informační a poradenské středisko pro kulturu;Celostátní přehlídka Primachori je koncipována jako výběr nejzajímavějších vystoupení ze všech krajů ČR. I když přehlídka klade důraz na školní sbory, jejím záměrem je umožnit rovněž setkání širšího spektra dětských pěveckých sborů, tj. např. sborů ZUŠ, DDM, přípravných oddělení koncertních sborů apod. Celostátní přehlídce předcházejí postupové přehlídky krajské, popřípadě oblastní. Součástí postupových přehlídek i celostátní přehlídky je seminář s lektorským sborem, resp. porotou, spojený s rozborem jednotlivých vystoupení. Na postupových přehlídkách mohou být sbory v soutěžních kategoriích oceněny zlatým, stříbrným nebo bronzovým pásmem a mohou získat i zvláštní ceny. V roce 2026 proběhne celostátní přehlídka Primachori v květnu – místo přehlídky v jednání.;35;umělecká;x;březen - duben 2026;květen 2026;Ne;Ano;Zejména v kapitole Umění a kultura (Hudební obor), zvláště učivo: vokální činnosti – kultivace pěveckého a hlasového projevu, intonační a rytmický výcvik, sólový a sborový zpěv, orientace v notovém (grafickém) zápisu vokálních kompozic, improvizace jednoduché vokální kompozice (předvětí a závětí, perioda) instrumentální činnosti – hra a tvorba instrumentálních doprovodů (rytmicko-melodické doprovody, jednoduchá aranžmá), hra a tvorba jednoduchých instrumentálních kompozic, orientace v notovém a grafickém zápise instrumentálních kompozic, moderní hudební nástroje a počítač hudebně pohybové činnosti – pohyb hudby a gesto, pohybové etudy, tanec jako způsob komunikace. Dále rozvíjí zejména tyto klíčové kompetence: kompetenci k řešení problémů, kompetenci komunikativní, kompetenci sociální a personální, kompetenci občanskou a kulturní.;Eva Chalupová;221 507 961;chlaupova@nipos.cz;NIPOS, útvar ARTAMA;P. O. BOX 12, Fügnerovo nám. 5, 120 21 Praha 2;www.nipos.cz
68. ročník Kocianovy houslové soutěže;KLUBCENTRM v Ústí nad Orlicí;Mezinárodní soutěž mladých houslistů ve věku do 16 let. Hlavním posláním soutěže je rozvoj tradic české houslové hry, podpora mladých talentovaných houslistů, umožnění jejich vzájemného setkávání a zdravého soutěžení v přátelské atmosféře.;68;umělecká;5. - 9. květen 2026;x;x;Ano;Ano;Účastníci soutěže jsou v drtivé většině ze základních uměleckých škol a konzervatoří. (výjimečně se účastní děti ze soukromé výuky);Mgr. Lenka Lipenská;776 456 963;lenka.lipenska@email.cz;ZUŠ Jaroslava Kociana;Smetanova 1500, 562 01 Ústí nad Orlicí;www.kocianovo-usti.com
54. Mezinárodní dětská výtvarná výstava Lidice;Památník Lidice;"Mezinárodní dětská výtvarná výstava Lidice (MDVV Lidice) byla založena v roce 1967 k uctění památky dětí z české obce Lidice zavražděných německými nacisty a všech dětí, které zahynuly ve válkách a ozbrojených konfliktech. Tato původně národní výstava se stala v roce 1972 výstavou mezinárodní; v posledních letech do výstavy přichází pravidelně kolem 20 000 prací ze 70-80 zemí světa.";54;umělecká;x;x;13. února 2026;Ano;Ano;Pedagogové, kteří své žáky přihlašují pravidelně do MDVV Lidice, každoročně zohledňují RVP - v souladu s termínem i tématem soutěže. Mezinárodní význam soutěže a motivace škol ke stabilně dobrým výsledkům pak vnášejí do práce s mládeží i dlouhodobý a kontinuální přístup.;Bc. Veronika Trubačová, DiS.;736 642 318;children@lidice-memorial.cz;Památník Lidice;Tokajická 152, 27354 Lidice;www.mdvv-lidice.cz
Oskar Ostrava 2026;Střední umělecká škola, Ostrava, p. o. ;Soutěž Oskar Ostrava (v kooperaci se soutěží Figura Český Krumlov) se zaměřuje na prověření a porovnání odborných kompetencí žáků v oblasti volné malby a to na republikové úrovni. Tato soutěžní přehlídka má formu bienále, koná se vždy 1x za 2 roky, střídá se soutěží Figura Český Krumlov. Soutěž je určena žáků středních a studentů vyšších odborných škol s výtvarnými a uměleckořemeslnými obory skupiny M 82 Umění a užité umění. Zúčastnit se mohou všichni žáci středních škol a studenti vyšších odborných škol zaměřených na výtvarná studia, a to prostřednictvím své školy. Na jaře 2026 proběhnou školní kola soutěže. Na podzim 2026 pak ústřední kolo soutěže a výstava oceněných soutěžních prací v Ostravě.;22;umělecká;x;x;listopad 2026;Ne;Ano;Soutěž navazuje na v RVP jednotlivých oborů vzdělání vymezené odborné kompetence žáků studujících skupiny oborů vzdělání M 82 Umění a užité umění v oblasti zvládnutí odborných kompetencí – figurální kresba respektive volná malba. Projekt se rovněž dotýká těchto dalších odborných kompetencí: absolventi využívají při své práci znalosti o historickém vývoji a současných trendech výtvarné kultury a umělecké tvorby, uplatňují vlastní výtvarný názor, výtvarně vnímají, myslí a samostatně se vyjadřují, hledají a využívají inspirační zdroje, aby jasně formulovali myšlenku a obsahovou náplň výtvarného záměru, aby volili možnosti výtvarného řešení na základě analýzy zadaného úkolu, dokázali je zhodnotit a obhájit, aby samostatně experimentovali při řešení úkolu, uplatňovali netradiční myšlenky a metody práce, aby využívali výtvarné a výrazové možnosti realizačních technologických postupů a technik a používaných materiálů. Aby žáci a absolventi usilovali o nejvyšší kvalitu své odborné práce, výrobků nebo služeb, tzn. aby žáci a absolventi chápali kvalitu jako významný nástroj konkurenceschopnosti. Dále: vzdělávání směřuje k prohlubování dovedností potřebných k sebereflexi, sebepoznání a sebehodnocení, k utváření adekvátního sebevědomí a aspirací žáků, ke kultivaci emočního prožívání žáků, včetně prožívání a vnímání estetického, k rozvoji kreativity a imaginace žáků, k rozvoji volních vlastností žáků, k rozvoji specifických schopností a nadání žáků.;Mgr. Martin Mikolášek;604 532 714;martin.mikolasek@sus-ostrava,cz;Střední umělecká škola, Ostrava, Příspěvková organizace;Poděbradova 959/33, Ostrava;www.sus-ostrava.cz
Pro Bohemia Ostrava 2026;Janáčkova konzervatoř v Ostravě, příspěvková organizace;Mezinárodní soutěž Pro Bohemia Ostrava 2026 je 24. ročníkem soutěže, která má za cíl propagovat českou hudbu od období klasicismu až po hudbu současnosti. Soutěž je neodmyslitelnou součástí ostravské vzdělávací scény a kultury. Koná se každoročně a jednotlivé obory se mění a střídají. Výkony hodnotí mezinárodní poroty složená ze zkušených pedagogů a koncertních umělců z nejen z ČR, ale také z celé Evropy. Setkání mladých talentů s těmito osobnostmi, předávání zkušeností a srovnávání úrovně mladého interpretačního umění v ČR se zahraničím přispívá k rozvíjení uměleckého nadání talentové mládeže. Soutěže neodmyslitelně patří k uměleckému vzdělávání a profesionálnímu životu mladých umělců.;24;umělecká;x;x;9. - 12. dubna 2026;Ne;Ne;Soutěž se koná v souladu s RVP pro obor hudba a zpěv v konzervatoři a RVP pro ZUŠ, kdy je jeho součástí prezentace výsledků práce pedagogů v soutěžích a veřejných vystoupení.;Mgr. Soňa Javůrková;596 114 767;info@jko.cz;Janáčkova konzervatoř v Ostravě;Českobratrská 9584, 700 02 Ostrava;https://www.jko.cz/pro-bohemia-ostrava-2026
Animág Kroměříž 2026;Vyšší odborná škola pedagogická a sociální a Střední pedagogická škola Kroměříž;ANIMÁG KROMĚŘÍŽ 2026 je 10. ročník celostátní soutěžní přehlídky neprofesionální animované tvorby žáků ve věku 6 – 19 let, zahrnuje uměleckou soutěž v animované tvorbě pro žáky základních a středních škola a zájmových institucí, diváckou přehlídku nejúspěšnějších soutěžních snímků (kombinovanou formou – prezenčně v Kině Nadsklepí Kroměříž i online formou prostřednictvím mediálních kanálů) a slavnostní vyhlášení výsledků soutěže (kombinovanou formou – prezenčně v Kině Nadsklepí Kroměříž a současně i formou záznamu na youtube kanále) s rozborovým workshopem (setkání tvůrců s porotci – evaluace 10. ročníku soutěže, slovní hodnocení snímků, diskuze, metodická doporučení) na VOŠPS a SPgŠ Kroměříž. Oceněné snímky z Animága Kroměříž budou prezentovány na webu Zlín film festivalu 2026. Pořadatel soutěže usiluje o podporu aktivního užití digitálních technologií a jejich propojení s výtvarnou a filmovou výchovou na základních a středních školách. Do 31. 3. 2026 je potřeba nominovat vítězné školní snímky do ústředního kola soutěže formou online přihlášení a vložení snímku na sdílené úložiště soutěže. V Kroměříži probíhá od 1. 4. 2026 pod dohledem odborné poroty celostátní (ústřední) kolo s diváckou přehlídkou v závěru května 2026 a vyhlášením výsledků soutěže začátkem června 2026. Do soutěže je možno přijímat i zahraniční snímky. Motivační témata 10. ročníku soutěže budou zveřejněna 1. 11. 2025 na webu soutěže www.animag-kromeriz.cz. Uzávěrka školních kol soutěže a příjem soutěžních snímků do ústředního kola je do 31. 3. 2026. Soutěž má tři základní soutěžní kategorie dle věku účastníků. 6 – 11 let, 11 – 15 let, 15 – 19 let, jež jsou dále členěny dle institucí, které tvůrcům poskytují metodickou podporu pro tvorbu animací (podkategorie: školy (ZŠ, SŠ), umělecky zaměřené instituce (ZUŠ, SŠ či volnočasové instituce zacílené na mediální tvorbu) a individuální autorské snímky).;10;umělecká;x;x;červen 2026;Ne;Ano;"Soutěž navazuje na RVP ZV a pomáhá naplnit očekávané výsledky učení v revidovaném RVP ZV: • vzdělávací oblast: Umění a kultura, vzdělávací obor Výtvarná a filmová výchova o očekávané výsledky učení v revidovaném RVP ZV: realizuje svůj tvůrčí záměr s využitím prostředků výtvarného umění, filmového umění a jejich kombinací; dokumentuje vlastní tvorbu a vede si přehled zdrojů pro inspiraci a využití ve své další tvorbě; reflektuje svou tvůrčí výtvarnou či filmovou zkušenost a přijímá zpětnou vazbu jako impulz pro další tvorbu; užívá a kombinuje prostředky filmu s důrazem na vyprávění pomocí pohyblivého obrazu. • vzdělávací oblast: Informatika, tematický okruh Digitální technologie o očekávané výsledky učení v revidovaném RVP ZV: vybírá na základě zkušenosti aplikace a data pro řešení problému; vybírá pro své potřeby hardware, software a způsob připojení digitálních zařízení do sítě na základě porozumění jejich vlastnostem • doplňující vzdělávací obory: Filmová/audiovizuální výchova; • průřezová témata: Mediální výchova a Osobnostní a sociální výchova. Cíle soutěže: • podpora tvořivosti dětí, žáků, kreativního myšlení, rozvoj výtvarných schopností; • podpora práce s nadanými dětmi, žáky v umělecké oblasti (výtvarné, filmové) a v oblasti ICT (inovace); • aktivní využití a rozvoj očekávaných výsledků učení výtvarné a filmové výchovy – zejména v oblasti Vlastí tvorba a její sdílení; • využití digitálních technologií pro autorské vyjádření dětí a mládeže • rozvoj profesního zájmu žáků o uměleckou tvorbu; • podpora mediální a filmové výchovy na školách; • prevence sociálně patologických jevů, nabídka smysluplného trávení volného času; • kultivace diváckého publika formou divácké přehlídky, motivace pro uměleckou neprofesionální oblast; • rozvoj oboru formou porovnání umělecké úrovně krátkých animovaných filmů v ČR; • identifikace umělecky talentovaných žáků a jejich metodická podpora; • motivace pedagogů k další tvůrčí práci s žáky v oblasti animace a mediální výchovy.";Mgr. Martin Číšecký;608 416 009;m.cisecky@ped-km.cz;Vyšší odborná škola pedagogická a sociální a Střední pedagogická škola Kroměříž;1. máje 221/10, 767 01 Kroměříž;www.animag-kromeriz.cz
Celostátní přehlídka dětských skupin scénického tance Kutná Hora;Národní informační a poradenské středisko pro kulturu;Přehlídka je nejvýznamnější akcí v ČR v oblasti dětského scénického tance. Je setkáním dětí a jejich pedagogů, které přináší každoročně to nejzajímavější a inspirující v oblasti dětské taneční výchovy a tvorby pro děti, s dětmi a dětí. Zpravidla v ploše tří až čtyř dnů jsou realizovány dva přehlídkové večery v Městském Tylově divadle a dvě odpolední vystoupení pod širým nebem na Terase kaple Božího těla. V doprovodném programu jsou pro děti realizovány výtvarné a interaktivní dílny, noční tematizované prohlídky pamětihodností města, závěrečné pohádkové představení. Pro pedagogy jsou určeny rozborové a vzdělávací semináře, společenské večery s odbornou diskusí.  Celostátní přehlídce předcházejí krajské postupové přehlídky.;41;umělecká;x;1. února - 3. dubna 2026;květen 2026;Ne;Ano;Zejména v kapitole Umění a kultura (Taneční obor), zvláště učivo: • vědomě aplikuje zásady a zákonitosti optimálního postavení těla a jeho jednotlivých částí při pohybu v prostoru, ve skupině, s rekvizitou a při pohybu s partnerem, • se orientuje v dané hudební předloze a dokáže ji vyjádřit pohybem, • interpretuje zadaný pohybový úkol, • je schopen bezprostředního emocionálního a pravdivého projevu s osobitým a účelově pojatým využitím potenciálu jemu dostupné techniky pohybu, • rozpoznává, kultivuje a respektuje svá specifika, • tvořivě přistupuje ke ztvárnění hudebních i nehudebních podnětů, • se podílí na tvorbě taneční kompozice, • spolupracuje s ostatními ve skupině a účinně se zapojuje do nejrůznějších interpretačních i tvůrčích činností.;MgA. Karolína Bulínová, Ph.D.;778 702 383;bulinova@nipos.cz;NIPOS, útvar ARTAMA;P. O. BOX 12, Fügnerovo nám. 5, 120 21 Praha 2;www.nipos.cz
Mezzochori, celostátní přehlídka pěveckých sborů mládeže;Národní informační a poradenské středisko pro kulturu;Celostátní přehlídka pěveckých sborů mládeže nabízí možnost vystoupení ve třech obsazeních (sbory smíšené, dívčí a mužské) s rozšířením o individuální a společný workshop s porotcem. Ve všech směrech je Celostátní přehlídka pěveckých sborů mládeže především povzbuzením a motivací pro sbormistry a příjemnou událostí pro zpěváky.;17;umělecká;x;březen - duben 2026;listopad 2026;Ne;Ano;Zejména v kapitole Umění a kultura (Hudební obor), zvláště učivo: vokální činnosti – kultivace pěveckého a hlasového projevu, intonační a rytmický výcvik, sólový a sborový zpěv, orientace v notovém (grafickém) zápisu vokálních kompozic, improvizace jednoduché vokální kompozice (předvětí a závětí, perioda) instrumentální činnosti – hra a tvorba instrumentálních doprovodů (rytmicko-melodické doprovody, jednoduchá aranžmá), hra a tvorba jednoduchých instrumentálních kompozic, orientace v notovém a grafickém zápise instrumentálních kompozic, moderní hudební nástroje a počítač hudebně pohybové činnosti – pohyb hudby a gesto, pohybové etudy, tanec jako způsob komunikace. Dále rozvíjí zejména tyto klíčové kompetence: kompetenci k řešení problémů, kompetenci komunikativní, kompetenci sociální a personální, kompetenci občanskou.;Mgr. Eva Nováková;778 479 697;enovakova@nipos.cz;NIPOS, útvar ARTAMA;P. O. BOX 12, Fügnerovo nám. 5, 120 21 Praha 2;www.nipos.cz
Mladá scéna, celostátní přehlídka studentských divadelních souborů;Národní informační a poradenské středisko pro kulturu;Mladá scéna je koncipována jako celostátní přehlídka středoškolských a dalších mladých divadelních souborů, umožňující setkání, prezentaci a konfrontaci jejich práce. Hlavními cíli přehlídky jsou podpora zájmu mladých lidí o divadelní aktivity, vzájemná inspirace a kultivace studentské divadelní činnosti. Je to jedinečná přehlídka, která umožňuje, aby se na její půdě setkaly jak soubory s vedením (dramatická výchova), tak soubory ze ZUŠ a také soubory bez pedagogického vedení - skupiny mladých lidí, kteří se rozhodli pro práci v divadelním souboru a tvoří sami. Akce má vzdělávací semináře, diskuse s odborným lektorským sborem.;23;umělecká;x;20. února - 17. dubna 2026;23. - 27. červen 2026;Ne;Ano;"Rozvíjí klíčové kompetence v těchto oblastech: Rámcový vzdělávací program pro gymnázia: vzdělávací oblast Jazyk a jazyková komunikace: Český jazyk a literatura; Rámcový vzdělávací program pro gymnázia: průřezová témata: Mediální výchova; Rámcový vzdělávací program pro základní umělecké vzdělávání: Literárně-dramatický obor.";MgA. Lenka Huláková;221 507 974;hulakova@nipos.cz;NIPOS, útvar ARTAMA;P. O. BOX 12, Fügnerovo nám. 5, 120 21 Praha 2;www.nipos.cz
Wolkrův Prostějov, celostátní přehlídka uměleckého přednesu a divadla poezie ;Národní informační a poradenské středisko pro kulturu;Wolkrův Prostějov (dále jen WP) je přehlídka nejinspirativnějších vystoupení sólových recitátorů, recitačních souborů a divadel poezie v České republice. Je příležitostí k setkání interpretů literárních textů, ke vzájemné inspiraci, výměně názorů a zkušeností a ke vzdělávání účastníků. Posláním přehlídky je také podpořit zájem pedagogů, studentů a širší veřejnosti o literaturu a její tvůrčí interpretaci. Projekt je určen studentům od ukončené 9. třídy ZŠ, postupují účastníci ze všech krajů ČR;69;umělecká;do 28. února 2026;1. března - 12. dubna 2026;16. - 20. června 2026;Ne;Ano;Navazuje především na oblasti jazykové vzdělávání a komunikace a estetické vzdělávání. Zejména ve vzdělávacích oblastech Jazyk a jazyková komunikace (především Český jazyk a literatura) a v průřezových tématech Multikulturní výchova a Mediální výchova. Konkrétněji se jedná o budování kompetencí pro recepci mluvených a psaných textů a pro čtení s porozuměním, zvládání základních pravidel mezilidské komunikace, tvořivá práce s uměleckým textem, jež vede k porozumění nejen významové, ale i formální a stylové výstavby textu. Dále rozeznávat společenskou a estetickou hodnotu sdělení v různých sémiotických kódech, zvláště sdělení v mateřském jazyce (podpora rozvoje jazykové kultury). Práce na přednašečském výkonu i práce na inscenaci vždy předpokládá uvědomění vlastní kulturní identity, rozvíjí schopnost chápat, že všichni lidé jsou odlišné osobnosti s individuálními zvláštnostmi, bez ohledu na svůj původ a odlišné projevy sociokulturních vzorců.;Mgr. Ivana Lubinová;221 507 970;lubinova@nipos.cz;NIPOS, útvar ARTAMA;P. O. BOX 12, Fügnerovo nám. 5, 120 21 Praha 2;www.nipos.cz
Malá vize - programová sekce celostátní přehlídky filmové tvorby České vize, věnovaná filmové tvorbě dětí a mládeže do 19 let;Národní informační a poradenské středisko pro kulturu;Celostátní přehlídka filmové tvorby dětí a mládeže – Malé vize je vyvrcholením dění v oboru filmové a audiovizuální výchovy respektive filmové tvorby dětí a mládeže v daném roce. Posláním přehlídky je přispět k rozvoji oboru formou porovnání umělecké úrovně filmů v celé ČR. Přehlídka si klade také za cíl popularizovat obor filmové a audiovizuální výchovy na půdě škol i ve všeobecném povědomí. Usilujeme o podporu pedagogů, kteří by se chtěli filmové výchově věnovat. Přehlídka je místem setkání pedagogů, mladých autorů, odborníků na oblast filmové výchovy, pedagogů a filmových profesionálů. Malé vize cílí na autory a tvůrčí kolektivy do devatenácti let. Představí se zde soutěžní kolekce ze čtyř partnerských postupových přehlídek.;24;umělecká;x;listopad 2025 - květen 2026;červen 2026;Ne;Ano;Filmová/Audiovizuální výchova je součástí RVP od roku 2010 formou doplňujícího vzdělávací oboru. V rámci probíhajícího procesu Revizí RVP pro základní vzdělávání se pracuje s variantou integrace oboru do oblasti Umění a kultura, což by výuce filmu na základních školách poskytovalo silnější formální zázemí. Celostátní přehlídka filmové tvorby České vize nabízí pedagogům, žákům i studentům příležitost pro prezentaci studentských prací, které byly vytvořeny v rámci standardní výuky i ve volnočasových aktivitách organizovaných školou. Audiovizuální díla jsou často vytvářena také v rámci příbuzných uměleckých výchov (výtvarná výchova, dramatická výchova, taneční a pohybová výchova, hudební výchova), a nebo v kontextu projektového vyučování, které rozvíjí a prohlubuje látku předmětů jakými jsou český jazyk, dějepis, občanská výchova, atp.. Studenti mohou srovnat svou tvorbu s dalšími autory a získat detailní zpětnou vazbu od odborné poroty. Zvláštní důraz je v průběhu přehlídky kladen na doprovodné dílny a workshopy, které mohou studentům představit další možnosti filmové tvorby. Program přehlídky cílí také na rozvoj samotných pedagogů. Ti mají možnost zapojit se do odborného programu, ve kterém se seznámí s aktuálními trendy, projekty i konkrétními didaktickými postupy v oboru filmové a audiovizuální výchovy.;MgA. Jiří Forejt, Ph. D.;221 507 958;forejt@nipos.cz;NIPOS, útvar ARTAMA;P. O. BOX 12, Fügnerovo nám. 5, 120 21 Praha 2;www.nipos.cz
